MS:  	 1823: 
words.[ADDstart] ^[ADDend][ADDstart] you"[ADDend]  	 words.     “Do not,” 
 I," welcome 	 I, “Welcome 
calm [DELstart] and[DELend][DELstart] not letpreveng[DELend][DELstart] my being[DELend][ADDstart] preveng[ADDend][ADDstart] y[ADDend][ADDstart] ing[ADDend] that 	 calm, that 
be absolutely 	 be absolutely 
 fathers 	 father’s 
 But 	 But, 
How[ADDstart] does[ADDend]  	 how does 
support  	 support 
[DELstart] f[DELend]  misfortunes; 	 misfortunes ? 
Elizabeth?" She 	 Elizabeth?”     “She 
consolation," replied  Ernest–" She 	 consolation; she 
 brother 	 brother, 
 very, 	[NO 1823 VARIANT]
 wretched; but 	 wretched. But 
discovered"——" "Good God 	 discovered—”     “The murderer discovered! Good God! 
 Who 	 who 
im possible, 	 impossible; 
 winds 	 winds, 
 mountain stream 	 mountain-stream 
straw "I 	 straw.”     “I 
mean" replied  Ernest, But 	 mean; but 
 discovered–No 	 discovered. No 
[DELstart] one[DELend]  	[NO 1823 VARIANT]
 first 	 first; 
[DELstart] can[DELend][ADDstart] ^[ADDend][ADDstart] can[ADDend] Myrtella 	 Elizabeth 
convinced notwith  standing 	 convinced, notwithstanding 
 Indeed 	 Indeed, 
 could have believed 	 would credit 
 amiable 	 amiable, 
 family 	 family, 
wicked."[DELstart] "im[DELend]  "poor, 	 wicked?”     “Justine Moritz! Poor, 
 girl 	 girl, 
 then accused – but 	 the accused? But 
 wrongfully 	 wrongfully; 
 that. No 	 that; no 
[DELstart] bell[DELend]  	[NO 1823 VARIANT]
 it 	 it, 
Ernest?" "No 	 Ernest?”     “No 
first," said my brother,  "but 	 first; but 
[DELstart] things[DELend][ADDstart] ^[ADDend][ADDstart] circumstances[ADDend]  	 circumstances 
 will 	 that have almost 
us  	 us; 
 "own 	 own 
[DELstart] was so[DELend][ADDstart] ^[ADDend] has 	 has 
[DELstart] such[DELend]  	[NO 1823 VARIANT]
confused [DELstart] and[DELend]  	 confused, 
 that 	 that, 
 fear 	 fear, 
doubt:  but 	 doubt. But 
 "will 	 will be 
 today 	 to-day, 
[DELstart] e[DELend][DELstart] t[DELend][DELstart] opened[DELend][DELstart] search &[DELend][DELstart] nothing[DELend][DELstart] cou[DELend][DELstart] day after[DELend][DELstart] her bed— Her apparel was exami[DELend][DELstart] then[DELend]  	 all.”     He 
 that 	 that, 
[DELstart] after[DELend] on 	 on 
discovered [DELstart] Justine o[DELend]  	 discovered, 
 ill 	 ill, 
 bed, and 	 bed; and, 
 days 	 days, 
servants happen[DELstart] ed[DELend][ADDstart] ed[ADDend][ADDstart] ing[ADDend]  	 servants, happening 
murder [DELstart] &[DELend][DELstart] ard[DELend][ADDstart] ad[ADDend]  	 murder, had 
 mother 	 mother, 
 shewed 	 showed 
[DELstart] and[DELend][ADDstart] who[ADDend]  	 who, 
family [DELstart] they[DELend] went 	 family, went 
magistrate who sent to appre[DELstart] who[DELend]  on 	 magistrate; and, upon their deposition, Justine was apprehended. On 
fact[ADDstart] she[ADDend]  	 poor girl 
[DELstart] to[DELend][DELstart] a[DELend]  	[NO 1823 VARIANT]
 This 	 confusion of manner.     This 
 tale 	 tale, 
 faith 	 faith; 
earnest ly. "You 	 earnestly, “You 
 mistaken. 	 mistaken; 
 murderer 	 murderer. 
 Justine 	 Justine, 
 At 	 innocent.”     At 
en After 	 entered. I saw unhappiness deeply impressed on his countenance, but he endeavoured to welcome me cheerfully; and, after we had exchanged 
 first 	[NO 1823 VARIANT]
 greetings 	 greeting, would have introduced some other topic than that of our disaster, 
past [DELstart] and[DELend]  	 not 
 exclaimed Good 	 exclaimed, “Good 
Pa pa! 	 papa! 
[DELstart] has[DELend][DELstart] k[DELend][ADDstart] s[ADDend]  	[NO 1823 VARIANT]
William.[DELstart] And[DELend]  We 	 William.”     “We 
 unfortunately," 	 unfortunately,” 
 father for 	 father; “for 
[ADDstart] ^[ADDend] for 	 been for 
 than, 	 than 
 & 	 and 
 whom 	[NO 1823 VARIANT]
highly. "My 	 highly.”     “My 
 father" exclaimed I–"You 	 father, you 
 mistaken. 	 mistaken; 
innocent." "If she is" replied my father "God 	 innocent.”     “If she is, God 
  	[NO 1823 VARIANT]
[DELstart] innocent[DELend] guilty – 	 guilty. 
 today 	 to-day, 
 hope 	 hope, 
 hope 	 hope, 
acquitted This 	 acquitted.”     This 
 Justine 	 Justine, 
 being 	 being, 
 fear therefore 	 fear, therefore, 
 her and 	 her; and, 
 assurance 	 assurance, 
 myself 	 myself, 
 eagerness 	 eagerness, 
[DELstart] co[DELend][DELstart] our[DELend][DELstart] mournful[DELend][ADDstart] he[ADDend][ADDstart] ^[ADDend][ADDstart] after ourwe[ADDend]  	[NO 1823 VARIANT]
 We 	 We 
[ADDstart] ^[ADDend][ADDstart] by[ADDend]  	 by 
 Five 	 Six 
[DELstart] ago[DELend]  	[NO 1823 VARIANT]
 was 	 had been 
good humoured girl   Whom 	 good-humoured girl, whom 
 loved, 	 loved 
[DELstart] humoured[DELend][ADDstart] caressed[ADDend] . 	 caressed. 
 countenance 	 countenance, 
 lovely — 	 lovely. 
&[ADDstart] ^[ADDend][ADDstart] e[ADDend] head 	 and capacious forehead 
 understanding 	 understanding, 
 frankness. 	 frankness of disposition. 
 hazel 	 hazel, 
[DELstart] great[DELend][ADDstart] ive[ADDend][ADDstart] ^[ADDend][ADDstart] of uncommon[ADDend]  mildness now 	 expressive of mildness, now, 
 affliction 	 affliction, 
 sadness– 	 sadness. 
rich[ADDstart] ^[ADDend][ADDstart] dark[ADDend][ADDstart] ^[ADDend] her 	 rich dark auburn, her 
fair  	 fair, 
[DELstart] embraced[DELend][DELstart] w[DELend][DELstart] me with[DELend]  	[NO 1823 VARIANT]
 affection "Your 	 affection. “Your 
[DELstart] best[DELend][ADDstart] dearest[ADDend]  cousin," 	 dear cousin,” 
[DELstart] give[DELend]  "fills 	 “fills 
 out 	[NO 1823 VARIANT]
[DELstart] innocent[DELend][ADDstart] ^[ADDend][ADDstart] guiltless[ADDend]  	 guiltless 
Alas  Who 	 Alas! who 
 safe is 	 safe, if 
 were 	 be 
[DELstart] for[DELend][DELstart] belie[DELend][ADDstart] ^[ADDend][ADDstart] of crime?[ADDend]  	 of crime? I 
[DELstart] her[DELend]  	[NO 1823 VARIANT]
[ADDstart] Our[ADDend] Misfortune 	 Our misfortune 
us. [ADDstart] We[ADDend]  	 us; we 
 boy 	 boy, 
 girl 	 girl, 
  	[NO 1823 VARIANT]
 fate – Alas if 	 fate. If 
 condemned 	 condemned, 
 never 	[NO 1823 VARIANT]
 more 	 more. 
 not 	 not, 
 not 	 not; 
 again 	 again, 
[DELstart] d[DELend]  	[NO 1823 VARIANT]
William." "She 	 William.”     “She 
 Elizabeth," 	 Elizabeth,” 
 I and 	 I, “and 
 proved – 	 proved; 
 nothing 	 nothing, 
aquittal. "every 	 acquittal.”     “How kind you are! every 
wretched   	 wretched, 
 that 	 that 
 impossible, 	 impossible: 
 despairing." 	 despairing.” 
wept—  "Sweet niece" 	 wept.     “Sweet niece,” 
 father dry 	 father, “dry 
[DELstart] eyes[DELend][ADDstart] sorrowful[ADDend]  if 	 tears. If 
 is 	 is, 
 believe innocent 	 believe, innocent, 
[DELstart] that[DELend] on 	 on 
 judges & 	 judges, and 
partiality.  	 partiality.” 
 We 	 W E  
 hours untill 	 hours, until 
 o'clock 	 o’clock, 
[DELstart] begin[DELend][DELstart] and[DELend][ADDstart] commence[ADDend][ADDstart] M[ADDend] y 	 commence. My 
E[DELstart] father[DELend][DELstart] El[DELend]  	[NO 1823 VARIANT]
witnesses [DELstart] Iac[DELend]  	 witnesses, 
 sufferred 	 suffered 
torture.[ADDstart] ^[ADDend] It 	 torture. It 
 decided 	 decided, 
lawless[DELstart] desires[DELend][ADDstart] devices[ADDend]  	 lawless devices 
  	[NO 1823 VARIANT]
 fellow beings. One 	 fellow-beings: one 
 babe 	 babe, 
 joy, 	 joy; 
 murdered 	 murdered, 
agravation [DELstart] ignominy[DELend]  	 aggravation of 
 that 	 the 
[DELstart] more terrible[DELend] memorable 	 memorable 
 merit 	 merit, 
[DELstart] little world[DELend][ADDstart] life[ADDend]  happy; 	 life happy: 
an[DELstart] d[DELend]  	 an 
grave [ADDstart] ;[ADDend]  And 	 grave; and 
 Justine, 	 Justine; 
 committed 	 committed, 
have[ADDstart] been[ADDend]  	 have been 
 madman 	 madman, 
 could 	 would 
me.[DELstart] aff[DELend]  	 me.     The 
[DELstart] morn[DELend]  mourning 	 mourning; 
 rendered 	 rendered, 
feelings exquisite  -ly 	 feelings, exquisitely 
[DELstart] Yet she[DELend][DELstart] Her mann[DELend]  	[NO 1823 VARIANT]
 innocence 	 innocence, 
 tremble 	 tremble, 
 at 	 on 
thousands. [DELstart] fo[DELend]  For 	 thousands; for 
kind  ness 	 kindness 
 gained from others 	 excited, 
 rememberance 	 imagination 
 tranquil 	 tranquil, 
evident constrained – 	 evidently constrained; 
 guilt 	 guilt, 
[DELstart] herself[DELend]  	[NO 1823 VARIANT]
 court 	 court, 
 it 	 it, 
 seated – a 	 seated. A 
 us 	 us; 
 herself 	 herself, 
[DELstart] g[DELend][DELstart] with[DELend]  	[NO 1823 VARIANT]
look[DELstart] e[DELend]  	 look 
[DELstart] and[DELend]  and 	 guiltlessness.     The trial began; and, 
 charge 	 charge, 
 her 	 her, 
 would 	 might 
 prof 	 proof 
 committed 	 committed, 
[DELstart] farme[DELend] woman 	 market-woman 
 He 	 The woman 
wh[DELstart] She[DELend][ADDstart] The woman[ADDend][ADDstart] ^[ADDend][ADDstart] her[ADDend]  	[NO 1823 VARIANT]
there[DELstart] for[DELend][ADDstart] ?[ADDend][ADDstart] but[ADDend]  	 there; but 
[DELstart] stang[DELend]  strangely 	 strangely, 
[DELstart] e[DELend][DELstart] came[DELend][ADDstart] ^&unintelligible^[ADDend][ADDstart] ^[ADDend][ADDstart] She[ADDend]  	 and unintelligible answer. She 
 o'clock and 	 o’clock; and, 
 some 	[NO 1823 VARIANT]
 enquired 	 inquired 
 night 	 night, 
 child 	 child, 
[DELstart] enquired[DELend][ADDstart] ^[ADDend][ADDstart] demanded[ADDend] earnestly 	 demanded earnestly 
the body was brought into 	 shown 
 house 	 body, 
hys terics 	 hysterics, 
 produced 	 produced, 
 pocket 	 pocket; 
 Elizabeth 	 Elizabeth, 
 voice 	 voice, 
[DELstart] she had[DELend][DELstart] the[DELend][ADDstart] which[ADDend]  	 which, 
murder the 	[NO 1823 VARIANT]
missed, she 	 missed, she 
 neck 	 neck, 
 indignation 	 horror 
 horror 	 indignation 
court. Justine 	 court.     Justine 
 then 	[NO 1823 VARIANT]
  	[NO 1823 VARIANT]
 proceeded 	 proceeded, 
 Surprise horror 	 Surprise, horror, 
strong  ly 	 strongly 
tears [DELstart] wh[DELend]  but 	 tears; but, 
 speak 	 plead, 
 powers 	 powers, 
 audible 	 audible, 
 "God knows," 	 variable, voice:—     “God knows,” 
"[DELstart] w[DELend][ADDstart] w[ADDend]  	 “how 
 inocent. but 	 innocent. But 
to be  acquitted on account of 	 that 
[DELstart] a[DELend]  	[NO 1823 VARIANT]
[DELstart] facts[DELend][ADDstart] facts[ADDend]  	 facts 
 me, 	 me; 
 encline 	 incline 
 interpretation 	 interpretation, 
[DELstart] fact[DELend][ADDstart] circumstance[ADDend]  	 circumstance 
  	[NO 1823 VARIANT]
suspicious. She 	 suspicious.”     She 
 that 	 that, 
 Elizabeth 	 Elizabeth, 
 was perpetrated 	 had been committed 
[ADDstart] ^[ADDend] the 	 the 
 who resided in Chêne 	 at Chêne, 
 return 	 return, 
 o'clock 	 o’clock, 
[DELstart] servant[DELend] man 	 man, 
 frightened at 	 alarmed by 
 him 	 him, 
 shut 	 shut, 
[DELstart] passed[DELend][ADDstart] ^[ADDend] was 	 was 
night[ADDstart] in[ADDend]  	 night in a barn belonging to 
 but unable 	 being unwilling to call up the inhabitants, to whom she was well known. Unable 
 rose early 	 quitted her asylum early, 
[DELstart] [DELend][DELstart] e[DELend]  	 spot 
 lay 	 lay, 
knowledge [DELstart] and she had been confused[DELend] That if 	 knowledge. That 
ques  tioned 	 questioned 
 market woman, 	 market-woman 
[DELstart] that[DELend][ADDstart] not[ADDend]  surprising when 	 not surprising, since 
[DELstart] was so[DELend][DELstart] c[DELend][ADDstart] for[ADDend]  	 had passed a sleepless night, and 
 loss 	 fate 
 William. 	 William was yet uncertain. 
"I know," continued  	  
  	 “I know,” continued 
victim[DELstart] e[DELend]  "how 	 victim, “how 
[DELstart] o[DELend]  	[NO 1823 VARIANT]
[DELstart] we[DELend]  	[NO 1823 VARIANT]
 me 	 me, 
 it 	 it; 
 ignorance 	 ignorance, 
[DELstart] w[DELend] as any other is 	[NO 1823 VARIANT]
conject[DELstart] ure[DELend] to 	[NO 1823 VARIANT]
[DELstart] I[DELend]  	[NO 1823 VARIANT]
[DELstart] at a[DELend][DELstart] stand[DELend][ADDstart] checked[ADDend] I 	 checked. I 
 have 	[NO 1823 VARIANT]
earth   	 earth, 
 who could 	 would 
[DELstart] d[DELend]  	[NO 1823 VARIANT]
[DELstart] so cruelly[DELend][ADDstart] ^[ADDend][ADDstart] wantonly.[ADDend] Did 	 wantonly. Did 
doing  or 	 doing; or, 
 had 	 had, 
 jewel 	 jewel, 
[ADDstart] ^[ADDend][ADDstart] again[ADDend]  	 again 
soon [DELstart] again[DELend][ADDstart] ?[ADDend] "I 	 soon?     “I 
 judges 	 judges, 
 character 	 character; 
the[ADDstart] ir[ADDend] testimony 	 their testimony 
overweigh my 	 overweigh my 
guilt[DELstart] is an apparent[DELend]  	 guilt, 
[DELstart] shall[DELend][ADDstart] must[ADDend] be condemned 	 must be condemned, 
[DELstart] p[DELend]  	[NO 1823 VARIANT]
innocence." Several 	 innocence.”     Several 
 called 	 called, 
 years 	 years, 
 her 	 her; 
 fear 	 fear, 
 guilty 	 guilty, 
 timorous 	 timorous, 
speak[ADDstart] ^[ADDend] come 	 come 
 dispositions & 	[NO 1823 VARIANT]
  	[NO 1823 VARIANT]
 when 	 when, 
[DELstart] uncalled[DELend] she 	 violently agitated, she 
 speak. "I am" 	 address the court.     “I am,” 
 she "the 	 she, “the 
 murdered 	 murdered, 
 sister 	 sister, 
[ADDstart] ^[ADDend][ADDstart] by[ADDend]  	 by, 
[DELstart] s[DELend]  	[NO 1823 VARIANT]
[DELstart] sin[DELend]  	[NO 1823 VARIANT]
 birth; it 	 birth. It 
 occasion 	 occasion; 
 fellow creature 	 fellow-creature 
 friends 	 friends, 
 speak 	 speak, 
[DELstart] and[DELend]  	[NO 1823 VARIANT]
[DELstart] know a great deal[DELend][ADDstart] ^[ADDend] am 	 am 
it.[DELstart] for[DELend]  	 the accused. 
 her 	 her, 
 five 	 five, 
 afterwards 	 at another 
[DELstart] time[DELend][DELstart] [DELend][ADDstart] ^[ADDend][ADDstart] period[ADDend]  	 period she 
 a 	 the 
 creature. 	 of human creatures. 
 nurst 	 nursed Madame Frankenstein, 
 aunt 	 aunt, 
 illness 	 illness, 
 care 	 care; 
after  terwards 	 afterwards 
[ADDstart] ^[ADDend][ADDstart] own[ADDend]  	 own 
 long & 	[NO 1823 VARIANT]
illness [DELstart] w[DELend]  	 illness, 
 uncle's house 	 uncle’s house, 
[DELstart] always a favourite[DELend][ADDstart] ^[ADDend] beloved 	 beloved 
[DELstart] Of the deceased[DELend] she 	 She 
[DELstart] very[DELend][DELstart] fond[DELend][ADDstart] ^[ADDend] warmly 	 warmly 
has been murdered  	 is now dead, 
[DELstart] in[DELend]  	[NO 1823 VARIANT]
Mother for 	 mother. For 
 part 	 part, 
[DELstart] s[DELend][ADDstart] ^[ADDend][ADDstart] all[ADDend]  	 say, that, notwithstanding all 
  	[NO 1823 VARIANT]
 her 	 her, 
[DELstart] An[DELend]  	[NO 1823 VARIANT]
[DELstart] t[DELend][ADDstart] t[ADDend]  	 no 
[DELstart] and her dispo character[DELend][DELstart] whi[DELend]  	[NO 1823 VARIANT]
action[DELstart] is amiable[DELend][DELstart] for[DELend]  	 action: 
rests [DELstart] If[DELend][DELstart] s[DELend]  	 rests, 
 wished for it 	 desired it, 
 her 	 to her; 
[DELstart] did[DELend]  	[NO 1823 VARIANT]
[DELstart] I rely[DELend]  	[NO 1823 VARIANT]
her." Excellent 	 her.”     Excellent 
[DELstart] o[DELend]  	[NO 1823 VARIANT]
 heard, 	 heard; 
[DELstart] on her account[DELend][ADDstart] ^[ADDend] excited 	 excited 
interference & 	 interference, and 
 Justine 	 Justine, 
[DELstart] ig[DELend][ADDstart] was[ADDend]  	 indignation was 
her[ADDstart] with[ADDend]  	 her with 
in- [DELstart] For[DELend]  	 ingratitude. 
 spoke 	 spoke, 
agitation[ADDstart] ^[ADDend] & 	 agitation and 
[DELstart] wh[DELend]  	[NO 1823 VARIANT]
 of the 	[NO 1823 VARIANT]
  	[NO 1823 VARIANT]
inno cence 	 innocence; 
 monster 	 dæmon, 
 alo 	 also 
sport[ADDstart] have[ADDend]  	 sport have 
situa  tion 	 situation; 
 saw 	 perceived 
 voice 	 voice, 
 countenance 	 countenances 
 Judges 	 judges, 
[DELstart] her[DELend][ADDstart] Xthe accusedXmy unhappyvictim[ADDend] I 	 my unhappy victim, I 
 mine 	 mine; 
 innocence 	 innocence, 
 bosom– 	 bosom, and would not forego their hold.     
 question – 	 question; 
know[ADDstart] n[ADDend]  	 known, 
[DELstart] what I came to en-[DELend][ADDstart] ^[ADDend] the 	 the 
visit[DELstart] quire;[DELend]  — the 	 visit. The 
 thrown 	 thrown; 
[DELstart] blak[DELend][ADDstart] ^[ADDend][ADDstart] black[ADDend] & 	 black, and 
  	[NO 1823 VARIANT]
[ADDstart] 2[ADDend] I 	 I 
 attempt 	 pretend 
 felt – 	 felt. 
[DELstart] had[DELend][ADDstart] experienced[ADDend]  	 before experienced 
horror  before 	 horror; 
 on 	 upon 
 expressions 	 expressions, 
 now 	[NO 1823 VARIANT]
 any 	 an 
 heart sickening 	 heart-sickening 
felt[DELstart] Nor[DELend][ADDstart] ^[ADDend][ADDstart] endured[ADDend]  	 endured. 
 had 	[NO 1823 VARIANT]
 also added 	 added, 
 "That evidence" 	 “That evidence,” 
 observed –"was 	 observed, “was 
 case 	 case, 
 I 	[NO 1823 VARIANT]
 and indeed 	 and, indeed, 
[DELstart] ch[DELend]  	[NO 1823 VARIANT]
evi let 	 evidence, be 
be[ADDstart] ^[ADDend][ADDstart] it[ADDend]  	[NO 1823 VARIANT]
decisive." When 	 decisive.”     When 
 home 	 home, 
[DELstart] enquired[DELend][ADDstart] ^[ADDend][ADDstart] demanded[ADDend]  	 demanded 
 "My cousin" 	    “My cousin,” 
 "it 	 “it 
[ADDstart] ^[ADDend][ADDstart] all[ADDend] Judges 	 expected; all judges 
 suffer 	 suffer, 
 escape: but 	 escape. But 
confessed." This 	 confessed.”     This 
[DELstart] b[DELend]  	[NO 1823 VARIANT]
Eliza beth 	 Elizabeth, 
on  her 	 upon Justine’s 
 "Alas!" 	 “Alas!” 
 she "How 	 she, “how 
 benovolence – 	 benevolence? 
 sister. How 	 sister, how 
[DELstart] thos[DELend]  	[NO 1823 VARIANT]
 betray– 	 betray; 
inca pable 	 incapable 
 humour 	 humour, 
[DELstart] com[DELend]  	[NO 1823 VARIANT]
murder." Soon 	 murder.”     Soon 
 go 	 go; 
 said 	 said, 
 judgement 	 judgment 
 "Yes," 	 “Yes,” 
 Elizabeth "I 	 Elizabeth, “I 
 go 	 go, 
 guilty – 	 guilty; 
 you Victor 	 you, Victor, 
acco pany me –I 	 accompany me: I 
alone". [DELstart] This[DELend]  	 alone.” 
 me 	 me, 
refuse. We 	 refuse.     We 
prison cham ber 	 prison-chamber, 
 mannacled 	 manacled, 
[DELstart] knews[DELend]  knees,– she 	 knees. She 
[DELstart] th[DELend]  	[NO 1823 VARIANT]
 her 	 her, 
 Elizabeth 	 Elizabeth, 
bitterly. My 	 bitterly. My 
 also – Oh Justine 	 also.     “Oh, Justine!” 
 consolation – 	 consolation. 
[DELstart] believed[DELend][ADDstart] relied[ADDend][ADDstart] o[ADDend] n 	 relied on 
 innocence 	 innocence; 
[DELstart] wh[DELend]  wretched 	 wretched, 
now." "And 	 now.”     “And 
 very 	 very, 
wicked–?[ADDstart] ^[ADDend][ADDstart] Cried Justine[ADDend]  	 wicked? 
 me? 	 me?” 
sobs. "Rise 	 sobs.     “Rise, 
 girl," 	 girl,” 
Elizabeth  "why 	 Elizabeth, “why 
 kneel 	 kneel, 
innocen  	 innocent? 
 enemies, 	 enemies; 
in  your innocence 	 you guiltless, 
 evidence untill 	 evidence, until 
 report 	 report, 
 say 	 say, 
 false, 	 false; 
 assured my 	 assured, 
 Justine 	 Justine, that 
 for a minute 	[NO 1823 VARIANT]
confession–" "I did confess" said Justine "but 	 confession.”     “I did confess; but 
 confessed 	 confessed, 
 absolution 	 absolution; 
 condemned 	 condemned, 
  	 me; 
 menaced untill 	 menaced, until 
 wicked wretch 	 monster that 
 excomunication 	 excommunication 
 Hell 	 hell 
 moments 	 moments, 
 Lady, 	 lady, 
 me – 	 me; 
 doom 	 doomed 
 perdition; what 	 perdition. What 
[DELstart] confessed[DELend]  	[NO 1823 VARIANT]
 lie 	 lie; 
 am 	[NO 1823 VARIANT]
 miserable." 	 miserable.”     
continued.  "I 	 continued—“I 
[DELstart] sho[DELend]  	[NO 1823 VARIANT]
that  	[NO 1823 VARIANT]
 Justine 	 Justine, 
 bessed 	 blessed 
 honoured 	 honoured, 
 wretch 	 creature 
of[ADDstart] ^[ADDend][ADDstart] a[ADDend]  	 of a 
[DELstart] not[DELend][ADDstart] none[ADDend]  	 none 
[DELstart] was capable of[DELend][ADDstart] ^[ADDend] could 	 could 
 William, 	 William! 
 child, 	 child! 
heaven & glory 	 heaven, where we shall all be happy; 
 me 	 me, 
de[ADDstart] "[ADDend] Elizabeth, "forgive 	 death.”     “Oh, Justine! forgive 
you – [DELstart] But[DELend][ADDstart] you[ADDend]  	 you. Why did you 
 mourn 	 mourn, 
 girl, 	 girl; 
 innocence 	 innocence, 
 will 	[NO 1823 VARIANT]
die –  you 	 die; you, 
 companion, 	 playfellow, 
 playfellow, 	 companion, 
 sister— die –I never 	 sister. I 
misfortune". "Dear Sweet lady," 	 misfortune.”     “Dear, sweet Elizabeth, 
weep"– [DELstart] sai[DELend]  replied Justine"– you 	 weep. You 
[DELstart] w[DELend]  	[NO 1823 VARIANT]
[DELstart] world[DELend][ADDstart] life,[ADDend]  	 life, 
 strife –Do 	 strife. Do 
 Elizabeth 	 friend, 
despair."[DELstart] Em[DELend] er "I 	 despair.”     “I 
you," said she  	 you; 
 this 	 this, 
 fear 	 fear, 
consolation [DELstart] or[DELend]  	 consolation, 
 hope 	 hope. 
 resignation 	 resignation, 
hope a 	[NO 1823 VARIANT]
 Oh 	 Oh! 
 all 	[NO 1823 VARIANT]
 shews 	 shows 
 mockeries.– When 	 mockeries! when 
[DELstart] deprived of life[DELend][DELstart] they[DELend][DELstart] bel[DELend][ADDstart] murdered[ADDend] another 	 murdered, another 
[DELstart] another[DELend]  	 deprived 
[ADDstart] ^[ADDend] then 	 manner; then 
 executioners 	 executioners, 
in[ADDstart] nocence[ADDend]  	 innocence, 
[DELstart] things[DELend][ADDstart] deed[ADDend] . 	 deed. 
retribution; hate ful 	 retribution . Hateful 
[ADDstart] ^[ADDend][ADDstart] word[ADDend]  	 word 
 pronounced 	 pronounced, 
 that 	[NO 1823 VARIANT]
[ADDstart] ^[ADDend][ADDstart] ever[ADDend][ADDstart] t[ADDend][ADDstart] d[ADDend]  	 ever invented 
satiate his 	 satiate his 
[ADDstart] ^[ADDend][ADDstart] for[ADDend]  	 for 
[ADDstart] ^[ADDend] in 	 in 
 & 	 and 
[DELstart] in peace[DELend]  	 lovely William, 
 light 	 a world 
[DELstart] I abhor[DELend] is 	 is 
me  	 me, 
 Justine 	 I abhor.”     Justine 
 "This, 	 “This, 
Lady  said she 	 lady, 
 despair 	 despair, 
 me – talk of somthing else 	 me. Talk 
fields[DELstart] s[DELend]  of 	 something else, 
[DELstart] brig jo[DELend] bring joy 	 bring peace, 
 encrease 	 increase 
misery."  	 misery.” 
 prison-room 	 prison-room, 
 me– 	 me. 
 victim 	 victim, 
 of 	 between 
 & death 	 and death, 
 did — Such 	 did, such 
 & 	 and 
 agony 	 agony. 
 teeth 	 teeth, 
[DELstart] [DELend]  together 	 together, 
started [DELstart] and[DELend]  when 	 started. When 
 was 	 was, 
me. "Dear Sir," said  she, "you 	 me, and said, “Dear Sir, you 
 you 	 you, 
 hope 	 hope, 
[DELstart] "[DELend] I 	 guilty.”     I 
 answer – "No Justine" 	 answer. “No, Justine,” 
 "he 	 “he 
[DELstart] even[DELend]  	[NO 1823 VARIANT]
 was 	 was; 
 confessed 	 confessed, 
[DELstart] believe[DELend] "I 	 credit it.”     “I 
him"– said Justine  "In 	 him. In 
 minutes 	 moments 
 for 	 towards 
 still 	[NO 1823 VARIANT]
 am – 	 am! 
 misfortune 	 misfortune; 
[DELstart] pea[DELend][DELstart] thn[DELend]  	 peace, 
isacknow ledged 	 is acknowledged 
 sweet 	 dear 
cousin." Thus 	 cousin.”     Thus 
[DELstart] cr[DELend]  	[NO 1823 VARIANT]
wished for  but I 	 desired. But I, 
murderer [DELstart] w[DELend]  	 murderer, 
 never dying 	 never-dying 
[DELstart] and I was[DELend][ADDstart] which[ADDend] allowed 	 in my bosom, which allowed of 
 wept 	 wept, 
 unhappy 	 unhappy; 
[ADDstart] ^[ADDend][ADDstart] also[ADDend]  	 her’s also 
[DELstart] also[DELend]  	[NO 1823 VARIANT]
innocence [DELstart] that[DELend] which 	 innocence, which, 
[DELstart] that[DELend][ADDstart] that[ADDend]  	 that 
moon [DELstart] which[DELend][ADDstart] &[ADDend]  	 moon, 
 des 	 hides, 
[DELstart] disturb[DELend][ADDstart] destroy[ADDend]  	 tarnish 
brightness [DELstart] but[DELend][DELstart] misery[DELend][DELstart] &[DELend][DELstart] desp[DELend]  anguish 	 brightness. Anguish 
[DELstart] penetr[DELend]  	[NO 1823 VARIANT]
 heart – 	 heart; 
 me that 	 me, which 
[DELstart] diminish[DELend][ADDstart] extinguish.[ADDend] We 	 extinguish. We 
 Justine 	 Justine; 
[DELstart] with[DELend]  	[NO 1823 VARIANT]
 tore 	 could tear 
away  "I wish" 	 away. “I wish,” 
 she that 	 she, “that 
 you – 	 you; 
 misery." 	 misery.”     
 Cheerfullness 	 cheerfulness, 
 the 	 her 
 tears – "Farewell 	 tears. She embraced Elizabeth, and said, in a voice of half-suppressed emotion, “Farewell, 
 Elizabeth 	 Elizabeth, my beloved and only friend; 
you May 	 you; may 
 – live & 	 Live, and 
happy  to 	 happy, and 
[DELstart] of[DELend]  	[NO 1823 VARIANT]
so. As We returned 	 so.”     As we returned, 
You  do not know, 	 “You know not, 
[DELstart] w[DELend]  	[NO 1823 VARIANT]
 relieved 	 relieved, 
 peace 	 peace, 
 it 	 her guilty, 
[DELstart] such[DELend]  	 an 
 suffers – 	 suffers; 
 is 	 has 
 wicked 	 betrayed the trust I reposed in her, 
consoled."[DELstart] Sweet[DELend][ADDstart] Amiable[ADDend]  Cousin! Such 	 consoled.     Amiable cousin! such 
 thoughts 	 thoughts, 
[DELstart] &[DELend][DELstart] gentle tone[DELend]  	[NO 1823 VARIANT]
voice but I.—— I 	 voice. But I—I 
wretch [DELstart] none[DELend] none 	 wretch, and none 
suffered.  	 endured. 
 Nothing 	 N OTHING  
[ADDstart] ^[ADDend][ADDstart] than[ADDend]  when 	 to the human mind, than, after 
 mind has 	 feelings have 
[DELstart] S[DELend][ADDstart] quick[ADDend]  	 quick 
 for a 	 the 
 calm 	 calmness 
certainty to of inaction & 	[NO 1823 VARIANT]
